constructorId,url,name,nationality,year
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1961
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British,1961
mbm,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,MBM,Swiss,1961
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,1961
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1962
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1962
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,1962
cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Alfa Romeo,British,1962
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1962
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian,1962
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian,1962
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian,1962
emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British,1962
enb,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,ENB,Belgian,1962
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1962
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British,1962
lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African,1962
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1962
lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Borgward,British,1962
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1962
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1962
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,1962
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1962
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1963
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian,1963
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1963
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1963
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British,1963
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1963
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1963
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian,1963
de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian,1963
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1963
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British,1963
lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African,1963
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1963
lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Borgward,British,1963
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1963
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1963
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1963
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British,1963
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,1963
scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British,1963
stebro,http://en.wikipedia.org/wiki/Stebro,Stebro,Canadian,1963
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1963
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British,1964
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1964
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1964
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1964
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British,1964
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1964
derrington,http://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British,1964
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1964
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1964
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1964
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1964
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,1964
scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British,1964
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1965
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British,1965
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1965
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1965
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1965
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1965
cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ford,British,1965
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1965
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1965
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1965
lds-alfa_romeo,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Alfa Romeo,South African,1965
lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Climax,South African,1965
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1965
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1965
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1965
re,http://en.wikipedia.org/wiki/RE_%28automobile%29,RE,Rhodesian,1965
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British,1966
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1966
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,1966
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1966
cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ferrari,British,1966
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1966
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American,1966
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American,1966
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1966
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1966
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1966
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1966
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1966
mclaren-seren,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Serenissima,British,1966
shannon,http://en.wikipedia.org/wiki/Shannon_(Formula_One),Shannon,British,1966
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1967
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1967
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,1967
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1967
cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British,1967
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1967
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1967
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American,1967
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American,1967
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1967
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1967
lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Climax,South African,1967
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1967
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,1967
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,1967
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1967
matra,http://en.wikipedia.org/wiki/Matra,Matra,French,1967
mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-BRM,British,1967
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1967
protos,http://en.wikipedia.org/wiki/Protos_(constructor),Protos,British,1967
